county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Democratic,DEM,149,127,276
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Republican,REP,157,45,202
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Libertarian,LIB,2,1,3
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,U.S. Taxpayers,UST,2,1,3
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Working Class,WC,4,2,6
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Green,GRN,2,0,2
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Cast Votes,,316,176,492
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Overvotes,,1,0,1
Muskegon,"City of Norton Shores, Precinct 4",Straight Party,,Unresolved,,0,0,0
