county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Dana Nessel,DEM,365,489,854
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Matthew DePerno,REP,546,226,772
Muskegon,"Laketon Township, Precinct 2",Attorney General,,"Joseph W. McHugh, Jr.",LIB,11,6,17
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Gerald T. Van Sickle,UST,6,5,11
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Cast Votes,,928,726,1654
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Overvotes,,1,1,2
Muskegon,"Laketon Township, Precinct 2",Attorney General,,Unresolved,,0,0,0
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,,,,,
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,Jerry Hilliard,DEM,296,413,709
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,John Moolenaar,REP,510,218,728
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,Nathan Hewer,LIB,19,11,30
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,Cast Votes,,825,642,1467
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,Overvotes,,0,0,0
Muskegon,"Laketon Township, Precinct 2",U.S. House,2,Unresolved,,0,0,0
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,,,,,
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Hillary Scholten,DEM,33,42,75
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,John Gibbs,REP,56,36,92
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Jamie Lewis,LIB,3,3,6
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Louis Palus,WC,0,1,1
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Cast Votes,,92,82,174
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Overvotes,,0,0,0
Muskegon,"Laketon Township, Precinct 2",U.S. House,3,Unresolved,,0,0,0
Muskegon,"Laketon Township, Precinct 2",State Senate,32,,,,,
Muskegon,"Laketon Township, Precinct 2",State Senate,32,Terry J. Sabo,DEM,363,473,836
Muskegon,"Laketon Township, Precinct 2",State Senate,32,Jon C. Bumstead,REP,561,255,816
Muskegon,"Laketon Township, Precinct 2",State Senate,32,Cast Votes,,924,728,1652
Muskegon,"Laketon Township, Precinct 2",State Senate,32,Overvotes,,0,0,0
Muskegon,"Laketon Township, Precinct 2",State Senate,32,Unresolved,,0,0,0
