county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Democratic,DEM,88,165,253
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Republican,REP,268,99,367
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Libertarian,LIB,1,0,1
Muskegon,"Dalton Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,1,1
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Working Class,WC,5,1,6
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Green,GRN,3,0,3
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Natural Law,NLP,1,0,1
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Cast Votes,,366,266,632
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Overvotes,,0,0,0
Muskegon,"Dalton Township, Precinct 1",Straight Party,,Unresolved,,0,0,0
