county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Democratic,DEM,342,0,342
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Republican,REP,270,0,270
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Libertarian,LIB,3,0,3
Muskegon,"Egelston Township, Precinct 3",Straight Party,,U.S. Taxpayers,UST,2,0,2
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Working Class,WC,5,0,5
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Green,GRN,1,0,1
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Cast Votes,,623,0,623
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Overvotes,,1,0,1
Muskegon,"Egelston Township, Precinct 3",Straight Party,,Unresolved,,0,0,0
