county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Democratic,DEM,222,136,358
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Republican,REP,61,11,72
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Libertarian,LIB,3,0,3
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,U.S. Taxpayers,UST,2,0,2
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Working Class,WC,4,4,8
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Green,GRN,1,0,1
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Cast Votes,,293,151,444
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Overvotes,,2,0,2
Muskegon,"City of Muskegon, Precinct 2",Straight Party,,Unresolved,,0,0,0
