county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,DEM,293,169,462
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,REP,249,101,350
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,LIB,6,0,6
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,UST,2,2,4
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,GRE,2,0,2
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,NAL,0,1,1
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,552,273,825
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,4,3,7
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,1,1
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"City of Holland, Ward 3, Precinct 7",Governor,,Gretchen Whitmer,,0,0,0
