county,precinct,office,district,candidate,party,votes
Ottawa,"Park Township, Precinct 2",Secretary of State,,Jocelyn Benson,DEM,211,196,407
Ottawa,"Park Township, Precinct 2",Secretary of State,,Kristina Elaine Karamo,REP,271,95,366
Ottawa,"Park Township, Precinct 2",Secretary of State,,Gregory Scott Stempfle,LIB,9,0,9
Ottawa,"Park Township, Precinct 2",Secretary of State,,Christine C. Schwartz,UST,2,2,4
Ottawa,"Park Township, Precinct 2",Secretary of State,,Larry James Hutchinson Jr.,GRE,1,0,1
Ottawa,"Park Township, Precinct 2",Secretary of State,,Cast Votes:,,494,293,787
Ottawa,"Park Township, Precinct 2",Secretary of State,,Undervotes:,,12,4,16
Ottawa,"Park Township, Precinct 2",Secretary of State,,Overvotes:,,1,0,1
Ottawa,"Park Township, Precinct 2",Secretary of State,,Rejected write-in votes:,,1,0,1
Ottawa,"Park Township, Precinct 2",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 2",Attorney General,,Dana Nessel,DEM,199,183,382
Ottawa,"Park Township, Precinct 2",Attorney General,,Matthew DePerno,REP,282,107,389
Ottawa,"Park Township, Precinct 2",Attorney General,,Joseph W. McHugh Jr.,LIB,13,1,14
Ottawa,"Park Township, Precinct 2",Attorney General,,Gerald T. Van Sickle,UST,0,2,2
Ottawa,"Park Township, Precinct 2",Attorney General,,Cast Votes:,,494,293,787
Ottawa,"Park Township, Precinct 2",Attorney General,,Undervotes:,,13,4,17
Ottawa,"Park Township, Precinct 2",Attorney General,,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 2",Attorney General,,Rejected write-in votes:,,1,0,1
Ottawa,"Park Township, Precinct 2",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 2",U.S. House,,Joseph Alfonso,DEM,165,161,326
Ottawa,"Park Township, Precinct 2",U.S. House,,Bill Huizenga,REP,321,127,448
Ottawa,"Park Township, Precinct 2",U.S. House,,Lorence Wenke,LIB,7,3,10
Ottawa,"Park Township, Precinct 2",U.S. House,,Curtis Michael Clark,UST,4,0,4
Ottawa,"Park Township, Precinct 2",U.S. House,,Cast Votes:,,497,291,788
Ottawa,"Park Township, Precinct 2",U.S. House,,Undervotes:,,11,6,17
Ottawa,"Park Township, Precinct 2",U.S. House,,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 2",U.S. House,,Rejected write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 2",U.S. House,,Unresolved write-in votes:,,0,0,0
