county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,DEM,59,45,104
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,REP,284,97,381
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,LIB,3,4,7
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,UST,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,GRE,1,0,1
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,NAL,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,347,146,493
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,2,1,3
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Robinson Township, Precinct 3B",Governor,,Gretchen Whitmer,,0,0,0
