county,precinct,office,district,candidate,party,votes
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Kim S. Nagy,DEM,299,282,581
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Roger Victory,REP,353,230,583
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Jessica L. Fox,LIB,26,6,32
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Cast Votes:,,678,518,1196
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Undervotes:,,25,12,37
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Rejected write-in votes:,,3,0,3
Ottawa,"Holland Charter Township, Precinct 4",State Senate,,Unresolved write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 4",State House,,Larry D. Jackson,DEM,294,266,560
Ottawa,"Holland Charter Township, Precinct 4",State House,,Nancy De Boer,REP,384,244,628
Ottawa,"Holland Charter Township, Precinct 4",State House,,Cast Votes:,,678,510,1188
Ottawa,"Holland Charter Township, Precinct 4",State House,,Undervotes:,,24,18,42
Ottawa,"Holland Charter Township, Precinct 4",State House,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 4",State House,,Rejected write-in votes:,,4,2,6
Ottawa,"Holland Charter Township, Precinct 4",State House,,Unresolved write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 4",State House,,,,,,
Ottawa,"Holland Charter Township, Precinct 4",State House,,Pamela Pugh,DEM,282,279,561
Ottawa,"Holland Charter Township, Precinct 4",State House,,Mitchell Robinson,DEM,277,269,546
Ottawa,"Holland Charter Township, Precinct 4",State House,,Tamara D. Carlone,REP,341,209,550
Ottawa,"Holland Charter Township, Precinct 4",State House,,Linda Lee Tarver,REP,333,208,541
Ottawa,"Holland Charter Township, Precinct 4",State House,,Donna Gundle-Krieg,LIB,22,2,24
Ottawa,"Holland Charter Township, Precinct 4",State House,,Bill Hall,LIB,18,4,22
Ottawa,"Holland Charter Township, Precinct 4",State House,,Ethan Hobson,UST,9,4,13
Ottawa,"Holland Charter Township, Precinct 4",State House,,Mary Anne Hering,WC,24,9,33
Ottawa,"Holland Charter Township, Precinct 4",State House,,Cast Votes:,,1306,984,2290
Ottawa,"Holland Charter Township, Precinct 4",State House,,Undervotes:,,104,75,179
Ottawa,"Holland Charter Township, Precinct 4",State House,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 4",State House,,Rejected write-in votes:,,2,1,3
Ottawa,"Holland Charter Township, Precinct 4",State House,,Unresolved write-in votes:,,0,0,0
