county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Jocelyn Benson,DEM,281,147,428
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Kristina Elaine Karamo,REP,263,37,300
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Gregory Scott Stempfle,LIB,16,0,16
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Christine C. Schwartz,UST,1,0,1
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Larry James Hutchinson Jr.,GRE,4,2,6
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Cast Votes:,,565,186,751
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Undervotes:,,4,2,6
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Rejected write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Dana Nessel,DEM,264,142,406
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Matthew DePerno,REP,273,41,314
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Joseph W. McHugh Jr.,LIB,18,2,20
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Gerald T. Van Sickle,UST,2,0,2
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Cast Votes:,,557,185,742
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Undervotes:,,12,3,15
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Rejected write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Joseph Alfonso,DEM,231,121,352
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Bill Huizenga,REP,306,55,361
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Lorence Wenke,LIB,14,3,17
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Curtis Michael Clark,UST,3,5,8
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Cast Votes:,,554,184,738
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Undervotes:,,15,4,19
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Overvotes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Rejected write-in votes:,,0,0,0
Ottawa,"Holland Charter Township, Precinct 8",U.S. House,,Unresolved write-in votes:,,0,0,0
