county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,DEM,271,295,566
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,REP,829,372,1201
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,LIB,7,4,11
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,UST,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,GRE,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,NAL,1,0,1
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,1108,672,1780
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,2,5,7
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,1,0,1
Ottawa,"Georgetown Charter Township, Precinct 12",Governor,,Gretchen Whitmer,,0,0,0
