county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Jocelyn Benson,DEM,169,138,307
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Kristina Elaine Karamo,REP,743,313,1056
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Gregory Scott Stempfle,LIB,10,5,15
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Christine C. Schwartz,UST,1,0,1
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Larry James Hutchinson Jr.,GRE,1,1,2
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Cast Votes:,,924,457,1381
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Undervotes:,,12,6,18
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Overvotes:,,1,0,1
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Rejected write-in votes:,,1,0,1
Ottawa,"Blendon Township, Precinct 3A",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Dana Nessel,DEM,155,128,283
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Matthew DePerno,REP,752,324,1076
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Joseph W. McHugh Jr.,LIB,10,6,16
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Gerald T. Van Sickle,UST,5,0,5
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Cast Votes:,,922,458,1380
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Undervotes:,,15,5,20
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Overvotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Rejected write-in votes:,,1,0,1
Ottawa,"Blendon Township, Precinct 3A",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Joseph Alfonso,DEM,127,98,225
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Bill Huizenga,REP,784,351,1135
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Lorence Wenke,LIB,12,5,17
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Curtis Michael Clark,UST,3,2,5
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Cast Votes:,,926,456,1382
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Undervotes:,,12,7,19
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Overvotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Rejected write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 3A",U.S. House,4,Unresolved write-in votes:,,0,0,0
