county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Democratic Party,DEM,14,0,14
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Republican Party,REP,42,0,42
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Libertarian Party,LIB,1,0,1
Ottawa,"Chester Township, Precinct 1B",Straight Party,,U.S. Taxpayers Party,UST,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Working Class Party,WC,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Green Party,GRE,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Natural Law Party,NAL,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Cast Votes:,,57,0,57
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Undervotes:,,31,0,31
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Overvotes:,,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Chester Township, Precinct 1B",Straight Party,,Unresolved write-in votes:,,0,0,0
