county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Kim S. Nagy,DEM,248,256,504
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Roger Victory,REP,681,288,969
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Jessica L. Fox,LIB,23,1,24
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Cast Votes:,,952,545,1497
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Undervotes:,,26,11,37
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Overvotes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Rejected write-in votes:,,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 16",State Senate,31,Unresolved write-in votes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Todd Avery,DEM,254,263,517
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Bradley Slagh,REP,668,277,945
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Greg Parlmer II,LIB,16,2,18
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Cast Votes:,,938,542,1480
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Undervotes:,,40,15,55
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Overvotes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Rejected write-in votes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 16",State House,85,Unresolved write-in votes:,,0,0,0
