county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Democratic Party,DEM,114,195,309
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Republican Party,REP,454,439,893
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Libertarian Party,LIB,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,U.S. Taxpayers Party,UST,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Working Class Party,WC,2,0,2
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Green Party,GRE,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Natural Law Party,NAL,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Cast Votes:,,570,636,1206
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Undervotes:,,419,353,772
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Overvotes:,,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 15",Straight Party,,Unresolved write-in votes:,,0,0,0
