county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Olive Township, Precinct 2",Straight Party,,Democratic Party,DEM,89,82,171
Ottawa,"Olive Township, Precinct 2",Straight Party,,Republican Party,REP,580,242,822
Ottawa,"Olive Township, Precinct 2",Straight Party,,Libertarian Party,LIB,0,1,1
Ottawa,"Olive Township, Precinct 2",Straight Party,,U.S. Taxpayers Party,UST,0,0,0
Ottawa,"Olive Township, Precinct 2",Straight Party,,Working Class Party,WC,1,1,2
Ottawa,"Olive Township, Precinct 2",Straight Party,,Green Party,GRE,1,0,1
Ottawa,"Olive Township, Precinct 2",Straight Party,,Natural Law Party,NAL,0,0,0
Ottawa,"Olive Township, Precinct 2",Straight Party,,Cast Votes:,,671,326,997
Ottawa,"Olive Township, Precinct 2",Straight Party,,Undervotes:,,290,129,419
Ottawa,"Olive Township, Precinct 2",Straight Party,,Overvotes:,,0,0,0
Ottawa,"Olive Township, Precinct 2",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Olive Township, Precinct 2",Straight Party,,Unresolved write-in votes:,,0,0,0
