county,precinct,office,district,party,candidate,votes
Livingston,"City of Howell, Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,4
Livingston,"City of Howell, Precinct 2",Straight Party,,WCP,Working Class Party,2
Livingston,"City of Howell, Precinct 2",Straight Party,,GRN,Green Party,3
Livingston,"City of Howell, Precinct 2",Straight Party,,NLP,Natural Law Party,1
Livingston,"City of Howell, Precinct 2",Straight Party,,,Cast Votes,633
Livingston,"City of Howell, Precinct 2",Straight Party,,,Undervotes,554
Livingston,"City of Howell, Precinct 2",Straight Party,,,Overvotes,0
Livingston,"City of Howell, Precinct 2",Straight Party,,,Rejected,0
Livingston,"City of Howell, Precinct 2",Straight Party,,,Unassigned,0
Livingston,"City of Howell, Precinct 2",Straight Party,,,Absentee,369
Livingston,"City of Howell, Precinct 2",Straight Party,,,Election,818
Livingston,"City of Howell, Precinct 3",Straight Party,,DEM,Democratic Party,373
Livingston,"City of Howell, Precinct 3",Straight Party,,REP,Republican Party,446
Livingston,"City of Howell, Precinct 3",Straight Party,,LIB,Libertarian Party,5
Livingston,"City of Howell, Precinct 3",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"City of Howell, Precinct 3",Straight Party,,WCP,Working Class Party,4
Livingston,"City of Howell, Precinct 3",Straight Party,,GRN,Green Party,1
Livingston,"City of Howell, Precinct 3",Straight Party,,NLP,Natural Law Party,0
Livingston,"City of Howell, Precinct 3",Straight Party,,,Cast Votes,830
Livingston,"City of Howell, Precinct 3",Straight Party,,,Undervotes,749
Livingston,"City of Howell, Precinct 3",Straight Party,,,Overvotes,1
Livingston,"City of Howell, Precinct 3",Straight Party,,,Rejected,0
Livingston,"City of Howell, Precinct 3",Straight Party,,,Unassigned,0
Livingston,"City of Howell, Precinct 3",Straight Party,,,Absentee,662
Livingston,"City of Howell, Precinct 3",Straight Party,,,Election,918
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,DEM,Democratic Party,260
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,REP,Republican Party,430
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,LIB,Libertarian Party,1
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,UST,U.S. Taxpayers Party,0
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,WCP,Working Class Party,1
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,GRN,Green Party,2
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,NLP,Natural Law Party,0
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Cast Votes,694
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Undervotes,660
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",Straight Party,,,Election,683
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,DEM,Democratic Party,199
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,REP,Republican Party,372
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,LIB,Libertarian Party,2
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,UST,U.S. Taxpayers Party,1
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,WCP,Working Class Party,0
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,GRN,Green Party,1
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,NLP,Natural Law Party,1
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Cast Votes,576
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Undervotes,513
Livingston,"Brighton Charter Township,Precinct 2",Straight Party,,,Overvotes,1
