county,precinct,office,district,party,candidate,votes
Livingston,"City of Howell, Precinct 2",Secretary of State,,GRN,Larry James Hutchinson Jr.,6
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Cast Votes,1163
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Undervotes,23
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Overvotes,0
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Rejected,1
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Unassigned,0
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Absentee,369
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Election,818
Livingston,"City of Howell, Precinct 2",Secretary of State,,,Total,1187
Livingston,"City of Howell, Precinct 3",Secretary of State,,DEM,Jocelyn Benson,791
Livingston,"City of Howell, Precinct 3",Secretary of State,,REP,Kristina Elaine Karamo,724
Livingston,"City of Howell, Precinct 3",Secretary of State,,LIB,Gregory Scott Stempfle,22
Livingston,"City of Howell, Precinct 3",Secretary of State,,UST,Christine C. Schwartz,9
Livingston,"City of Howell, Precinct 3",Secretary of State,,GRN,Larry James Hutchinson Jr.,4
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Cast Votes,1550
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Undervotes,28
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Overvotes,0
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Rejected,2
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Unassigned,0
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Absentee,662
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Election,918
Livingston,"City of Howell, Precinct 3",Secretary of State,,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,DEM,Jocelyn Benson,581
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,REP,Kristina Elaine Karamo,732
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,LIB,Gregory Scott Stempfle,14
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,UST,Christine C. Schwartz,7
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,GRN,Larry James Hutchinson Jr.,2
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Cast Votes,1336
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Undervotes,19
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Election,683
Livingston,"Brighton Charter Township,Precinct 1",Secretary of State,,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,DEM,Jocelyn Benson,439
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,REP,Kristina Elaine Karamo,596
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,LIB,Gregory Scott Stempfle,23
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,UST,Christine C. Schwartz,7
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Cast Votes,1068
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Undervotes,20
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Overvotes,2
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Absentee,462
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Election,628
Livingston,"Brighton Charter Township,Precinct 2",Secretary of State,,,Total,1090
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,DEM,Jocelyn Benson,620
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,REP,Kristina Elaine Karamo,584
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,LIB,Gregory Scott Stempfle,18
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,UST,Christine C. Schwartz,5
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,GRN,Larry James Hutchinson Jr.,3
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Cast Votes,1230
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Undervotes,16
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Absentee,640
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Election,607
Livingston,"Brighton Charter Township,Precinct 3",Secretary of State,,,Total,1247
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,DEM,Jocelyn Benson,465
Livingston,"Brighton Charter Township,Precinct 4",Secretary of State,,REP,Kristina Elaine Karamo,543
