county,precinct,office,district,party,candidate,votes
Livingston,"City of Howell, Precinct 3",State Senate,37,UST,Victoria McCasey,11
Livingston,"City of Howell, Precinct 3",State Senate,37,,Cast Votes,1536
Livingston,"City of Howell, Precinct 3",State Senate,37,,Undervotes,44
Livingston,"City of Howell, Precinct 3",State Senate,37,,Overvotes,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Rejected,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Unassigned,0
Livingston,"City of Howell, Precinct 3",State Senate,37,,Absentee,662
Livingston,"City of Howell, Precinct 3",State Senate,37,,Election,918
Livingston,"City of Howell, Precinct 3",State Senate,37,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,DEM,Jordan Genso,450
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,REP,Lana L. Theis,837
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,LIB,Jon Elgas,18
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,UST,Victoria McCasey,7
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Cast Votes,1312
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Undervotes,43
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Election,683
Livingston,"Brighton Charter Township,Precinct 1",State Senate,37,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,DEM,Jordan Genso,333
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,REP,Lana L. Theis,685
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,LIB,Jon Elgas,26
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,UST,Victoria McCasey,6
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Cast Votes,1050
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Undervotes,39
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Rejected,1
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Absentee,462
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Election,628
Livingston,"Brighton Charter Township,Precinct 2",State Senate,37,,Total,1090
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,DEM,Jordan Genso,478
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,REP,Lana L. Theis,696
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,LIB,Jon Elgas,24
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,UST,Victoria McCasey,1
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Cast Votes,1199
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Undervotes,48
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Absentee,640
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Election,607
Livingston,"Brighton Charter Township,Precinct 3",State Senate,37,,Total,1247
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,DEM,Jordan Genso,360
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,REP,Lana L. Theis,632
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,LIB,Jon Elgas,19
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,UST,Victoria McCasey,2
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Cast Votes,1013
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Undervotes,43
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Absentee,490
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Election,566
Livingston,"Brighton Charter Township,Precinct 4",State Senate,37,,Total,1056
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,DEM,Jordan Genso,270
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,REP,Lana L. Theis,368
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,LIB,Jon Elgas,13
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,UST,Victoria McCasey,4
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Cast Votes,655
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Undervotes,29
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Absentee,260
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Election,424
Livingston,"Brighton Charter Township,Precinct 5",State Senate,37,,Total,684
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,DEM,Jordan Genso,659
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,REP,Lana L. Theis,1123
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,LIB,Jon Elgas,24
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,UST,Victoria McCasey,8
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Cast Votes,1814
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Undervotes,65
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 6",State Senate,37,,Unassigned,0
