county,precinct,office,district,party,candidate,votes
Livingston,"City of Howell, Precinct 3",Attorney General,,REP,Matthew DePerno,769
Livingston,"City of Howell, Precinct 3",Attorney General,,LIB,Joseph W. McHugh Jr.,31
Livingston,"City of Howell, Precinct 3",Attorney General,,UST,Gerald T. Van Sickle,8
Livingston,"City of Howell, Precinct 3",Attorney General,,,Cast Votes,1542
Livingston,"City of Howell, Precinct 3",Attorney General,,,Undervotes,37
Livingston,"City of Howell, Precinct 3",Attorney General,,,Overvotes,0
Livingston,"City of Howell, Precinct 3",Attorney General,,,Rejected,1
Livingston,"City of Howell, Precinct 3",Attorney General,,,Unassigned,0
Livingston,"City of Howell, Precinct 3",Attorney General,,,Absentee,662
Livingston,"City of Howell, Precinct 3",Attorney General,,,Election,918
Livingston,"City of Howell, Precinct 3",Attorney General,,,Total,1580
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,DEM,Dana Nessel,530
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,REP,Matthew DePerno,770
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,LIB,Joseph W. McHugh Jr.,14
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,UST,Gerald T. Van Sickle,3
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Cast Votes,1317
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Undervotes,38
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Absentee,672
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Election,683
Livingston,"Brighton Charter Township,Precinct 1",Attorney General,,,Total,1355
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,DEM,Dana Nessel,382
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,REP,Matthew DePerno,627
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,LIB,Joseph W. McHugh Jr.,24
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,UST,Gerald T. Van Sickle,14
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Cast Votes,1047
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Undervotes,42
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Rejected,1
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Absentee,462
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Election,628
Livingston,"Brighton Charter Township,Precinct 2",Attorney General,,,Total,1090
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,DEM,Dana Nessel,574
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,REP,Matthew DePerno,617
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,LIB,Joseph W. McHugh Jr.,23
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,UST,Gerald T. Van Sickle,3
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Cast Votes,1217
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Undervotes,30
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Absentee,640
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Election,607
Livingston,"Brighton Charter Township,Precinct 3",Attorney General,,,Total,1247
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,DEM,Dana Nessel,419
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,REP,Matthew DePerno,557
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,LIB,Joseph W. McHugh Jr.,23
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,UST,Gerald T. Van Sickle,10
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Cast Votes,1009
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Undervotes,46
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Overvotes,1
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Absentee,490
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Election,566
Livingston,"Brighton Charter Township,Precinct 4",Attorney General,,,Total,1056
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,DEM,Dana Nessel,297
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,REP,Matthew DePerno,349
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,LIB,Joseph W. McHugh Jr.,13
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,UST,Gerald T. Van Sickle,6
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Cast Votes,665
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Undervotes,19
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Overvotes,0
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Rejected,0
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Unassigned,0
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Absentee,260
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Election,424
Livingston,"Brighton Charter Township,Precinct 5",Attorney General,,,Total,684
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,DEM,Dana Nessel,776
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,REP,Matthew DePerno,1004
Livingston,"Brighton Charter Township,Precinct 6",Attorney General,,LIB,Joseph W. McHugh Jr.,29
