county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Democratic,DEM,186,115,301
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Republican,REP,63,12,75
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Libertarian,LIB,3,1,4
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,U.S. Taxpayers,UST,0,3,3
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Working Class,WC,3,0,3
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Green,GRN,0,0,0
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Natural Law,NLP,0,2,2
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Cast Votes,,255,133,388
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Overvotes,,3,0,3
Muskegon,"City of Muskegon, Precinct 6",Straight Party,,Unresolved,,0,0,0
