county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Montague, Precinct 1",Straight Party,,Democratic,DEM,139,194,333
Muskegon,"City of Montague, Precinct 1",Straight Party,,Republican,REP,226,89,315
Muskegon,"City of Montague, Precinct 1",Straight Party,,Libertarian,LIB,5,0,5
Muskegon,"City of Montague, Precinct 1",Straight Party,,U.S. Taxpayers,UST,0,0,0
Muskegon,"City of Montague, Precinct 1",Straight Party,,Working Class,WC,4,0,4
Muskegon,"City of Montague, Precinct 1",Straight Party,,Green,GRN,0,0,0
Muskegon,"City of Montague, Precinct 1",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"City of Montague, Precinct 1",Straight Party,,Cast Votes,,374,283,657
Muskegon,"City of Montague, Precinct 1",Straight Party,,Overvotes,,0,0,0
Muskegon,"City of Montague, Precinct 1",Straight Party,,Unresolved,,0,0,0
