county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Moorland Township, Precinct 1",Governor,,Gretchen Whitmer,DEM,211,0,211
Muskegon,"Moorland Township, Precinct 1",Governor,,Tudor M. Dixon,REP,494,0,494
Muskegon,"Moorland Township, Precinct 1",Governor,,Mary Buzuma,LIB,10,0,10
Muskegon,"Moorland Township, Precinct 1",Governor,,Donna Brandenburg,UST,11,0,11
Muskegon,"Moorland Township, Precinct 1",Governor,,Kevin Hogan,GRN,2,0,2
Muskegon,"Moorland Township, Precinct 1",Governor,,Daryl M. Simpson,NLP,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Bob Scott (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Ervin Joseph Lamie (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Eugene Rosell Hunt Jr (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Evan S Space (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Joseph Irving (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Joseph Michael Hunt (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Justi Paul Blackburn (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Michael David Kelly (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Michael Ray Deck (W),,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Cast Votes,,728,0,728
Muskegon,"Moorland Township, Precinct 1",Governor,,Overvotes,,0,0,0
Muskegon,"Moorland Township, Precinct 1",Governor,,Unresolved,,0,0,0
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,,,,,
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Jocelyn Benson,DEM,238,0,238
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Kristina Elaine Karamo,REP,456,0,456
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Gregory Scott Stempfle,LIB,12,0,12
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Christine C. Schwartz,UST,9,0,9
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,"Larry James Hutchinson, Jr.",GRN,2,0,2
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Cast Votes,,717,0,717
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Overvotes,,0,0,0
Muskegon,"Moorland Township, Precinct 1",Secretary of State,,Unresolved,,0,0,0
