county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Sullivan Township, Precinct 1",Governor,,Gretchen Whitmer,DEM,226,237,463
Muskegon,"Sullivan Township, Precinct 1",Governor,,Tudor M. Dixon,REP,663,178,841
Muskegon,"Sullivan Township, Precinct 1",Governor,,Mary Buzuma,LIB,10,8,18
Muskegon,"Sullivan Township, Precinct 1",Governor,,Donna Brandenburg,UST,3,6,9
Muskegon,"Sullivan Township, Precinct 1",Governor,,Kevin Hogan,GRN,2,2,4
Muskegon,"Sullivan Township, Precinct 1",Governor,,Daryl M. Simpson,NLP,0,1,1
Muskegon,"Sullivan Township, Precinct 1",Governor,,Bob Scott (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Ervin Joseph Lamie (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Eugene Rosell Hunt Jr (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Evan S Space (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Joseph Irving (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Joseph Michael Hunt (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Justi Paul Blackburn (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Michael David Kelly (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Michael Ray Deck (W),,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Governor,,Cast Votes,,904,432,1336
Muskegon,"Sullivan Township, Precinct 1",Governor,,Overvotes,,1,1,2
Muskegon,"Sullivan Township, Precinct 1",Governor,,Unresolved,,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,,,,,
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Jocelyn Benson,DEM,253,250,503
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Kristina Elaine Karamo,REP,614,165,779
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Gregory Scott Stempfle,LIB,17,7,24
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Christine C. Schwartz,UST,5,6,11
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,"Larry James Hutchinson, Jr.",GRN,3,1,4
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Cast Votes,,892,429,1321
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Overvotes,,0,0,0
Muskegon,"Sullivan Township, Precinct 1",Secretary of State,,Unresolved,,0,0,0
