county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Democratic,DEM,129,227,356
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Republican,REP,246,153,399
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Libertarian,LIB,5,1,6
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,U.S. Taxpayers,UST,0,0,0
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Working Class,WC,1,0,1
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Green,GRN,1,1,2
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Natural Law,NLP,0,0,0
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Cast Votes,,382,382,764
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Overvotes,,0,0,0
Muskegon,"City of Norton Shores, Precinct 9",Straight Party,,Unresolved,,0,0,0
