county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Dana Nessel,DEM,317,372,689
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Matthew DePerno,REP,486,127,613
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,"Joseph W. McHugh, Jr.",LIB,18,4,22
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Gerald T. Van Sickle,UST,9,4,13
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Cast Votes,,830,507,1337
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Overvotes,,1,0,1
Muskegon,"Muskegon Charter Township, Precinct 4",Attorney General,,Unresolved,,0,0,0
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,,,,,
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,Jerry Hilliard,DEM,282,353,635
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,John Moolenaar,REP,520,145,665
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,Nathan Hewer,LIB,20,5,25
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,Cast Votes,,822,503,1325
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,Overvotes,,0,0,0
Muskegon,"Muskegon Charter Township, Precinct 4",U.S. House,2,Unresolved,,0,0,0
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,,,,,
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,Terry J. Sabo,DEM,308,361,669
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,Jon C. Bumstead,REP,529,145,674
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,Cast Votes,,837,506,1343
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,Overvotes,,0,0,0
Muskegon,"Muskegon Charter Township, Precinct 4",State Senate,32,Unresolved,,0,0,0
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,,,,,
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,Will Snyder,DEM,308,357,665
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,Michael L. Haueisen,REP,512,138,650
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,Cast Votes,,820,495,1315
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,Overvotes,,0,1,1
Muskegon,"Muskegon Charter Township, Precinct 4",State House,87,Unresolved,,0,0,0
