county,precinct,office,district,candidate,party,election_day,absentee,total
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Gretchen Whitmer,DEM,316,268,584
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Tudor M. Dixon,REP,268,103,371
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Mary Buzuma,LIB,8,2,10
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Donna Brandenburg,UST,3,1,4
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Kevin Hogan,GRN,3,0,3
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Daryl M. Simpson,NLP,1,1,2
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Bob Scott (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Ervin Joseph Lamie (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Eugene Rosell Hunt Jr (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Evan S Space (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Joseph Irving (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Joseph Michael Hunt (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Justi Paul Blackburn (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Michael David Kelly (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Michael Ray Deck (W),,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Cast Votes,,599,375,974
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Overvotes,,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Governor,,Unresolved,,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,,,,,
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Jocelyn Benson,DEM,318,277,595
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Kristina Elaine Karamo,REP,246,93,339
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Gregory Scott Stempfle,LIB,15,1,16
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Christine C. Schwartz,UST,3,2,5
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,"Larry James Hutchinson, Jr.",GRN,2,0,2
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Cast Votes,,584,373,957
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Overvotes,,0,0,0
Muskegon,"City of Roosevelt Park, Precinct 1",Secretary of State,,Unresolved,,0,0,0
