county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Kim S. Nagy,DEM,349,512,861
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Roger Victory,REP,334,260,594
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Jessica L. Fox,LIB,18,12,30
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Cast Votes,,701,784,1485
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Undervotes,,26,20,46
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Overvotes,,0,0,0
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Rejected,,1,1,2
Ottawa,"City of Grand Haven, Precinct 2",State Senate,31,Unresolved,,0,0,0
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Christine Baker,DEM,350,534,884
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Greg VanWoerkom,REP,338,250,588
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Marv Bolthouse,LIB,12,5,17
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Cast Votes,,700,789,1489
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Undervotes,,28,16,44
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Overvotes,,0,0,0
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Rejected,,0,0,0
Ottawa,"City of Grand Haven, Precinct 2",State House,88,Unresolved,,0,0,0
