county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Park Township, Precinct 2",Straight Party,,Democratic,DEM,90,102,192
Ottawa,"Park Township, Precinct 2",Straight Party,,Republican,REP,182,83,265
Ottawa,"Park Township, Precinct 2",Straight Party,,Libertarian,LIB,4,0,4
Ottawa,"Park Township, Precinct 2",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Park Township, Precinct 2",Straight Party,,Working Class,WC,1,0,1
Ottawa,"Park Township, Precinct 2",Straight Party,,Green,GRE,0,0,0
Ottawa,"Park Township, Precinct 2",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Park Township, Precinct 2",Straight Party,,Cast Votes:,,277,185,462
Ottawa,"Park Township, Precinct 2",Straight Party,,Undervotes:,,231,112,343
Ottawa,"Park Township, Precinct 2",Straight Party,,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 2",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 2",Straight Party,,Unresolved write-in votes:,,0,0,0
