county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Jocelyn Benson,DEM,137,231,368
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Kristina Elaine Karamo,REP,348,473,821
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Gregory Scott Stempfle,LIB,4,4,8
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Christine C. Schwartz,UST,0,8,8
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Larry James Hutchinson Jr.,GRE,3,1,4
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Cast Votes:,,492,717,1209
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Undervotes:,,5,11,16
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Overvotes:,,0,0,0
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Rejected write-in votes:,,0,0,0
Ottawa,"City of Zeeland, Precinct 4",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Dana Nessel,DEM,117,210,327
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Matthew DePerno,REP,359,482,841
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Joseph W. McHugh Jr.,LIB,6,4,10
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Gerald T. Van Sickle,UST,2,9,11
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Cast Votes:,,484,705,1189
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Undervotes:,,12,21,33
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Overvotes:,,0,2,2
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Rejected write-in votes:,,1,0,1
Ottawa,"City of Zeeland, Precinct 4",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Joseph Alfonso,DEM,89,165,254
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Bill Huizenga,REP,392,533,925
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Lorence Wenke,LIB,8,6,14
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Curtis Michael Clark,UST,0,6,6
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Cast Votes:,,489,710,1199
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Undervotes:,,7,15,22
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Overvotes:,,1,1,2
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Rejected write-in votes:,,0,2,2
Ottawa,"City of Zeeland, Precinct 4",U.S. House,4,Unresolved write-in votes:,,0,0,0
