county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Wright Township, Precinct 1B",State Senate,30,David LaGrand,DEM,63,74,137
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Mark Huizenga,REP,229,85,314
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Theodore Petzold,LIB,3,2,5
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Cast Votes:,,295,161,456
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Undervotes:,,8,5,13
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Overvotes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Rejected write-in votes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State Senate,30,Unresolved write-in votes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,Sharon McConnon,DEM,66,70,136
Ottawa,"Wright Township, Precinct 1B",State House,89,Luke Meerman,REP,220,85,305
Ottawa,"Wright Township, Precinct 1B",State House,89,Cast Votes:,,286,155,441
Ottawa,"Wright Township, Precinct 1B",State House,89,Undervotes:,,17,11,28
Ottawa,"Wright Township, Precinct 1B",State House,89,Overvotes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,Rejected write-in votes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,Unresolved write-in votes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,,,,,
Ottawa,"Wright Township, Precinct 1B",State House,89,Pamela Pugh,DEM,62,74,136
Ottawa,"Wright Township, Precinct 1B",State House,89,Mitchell Robinson,DEM,63,74,137
Ottawa,"Wright Township, Precinct 1B",State House,89,Tamara D. Carlone,REP,192,68,260
Ottawa,"Wright Township, Precinct 1B",State House,89,Linda Lee Tarver,REP,194,67,261
Ottawa,"Wright Township, Precinct 1B",State House,89,Donna Gundle-Krieg,LIB,10,3,13
Ottawa,"Wright Township, Precinct 1B",State House,89,Bill Hall,LIB,4,3,7
Ottawa,"Wright Township, Precinct 1B",State House,89,Ethan Hobson,UST,2,4,6
Ottawa,"Wright Township, Precinct 1B",State House,89,Mary Anne Hering,WC,6,2,8
Ottawa,"Wright Township, Precinct 1B",State House,89,Cast Votes:,,533,295,828
Ottawa,"Wright Township, Precinct 1B",State House,89,Undervotes:,,73,37,110
Ottawa,"Wright Township, Precinct 1B",State House,89,Overvotes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,Rejected write-in votes:,,0,0,0
Ottawa,"Wright Township, Precinct 1B",State House,89,Unresolved write-in votes:,,0,0,0
