county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Park Township, Precinct 3",State Senate,31,Kim S. Nagy,DEM,212,415,627
Ottawa,"Park Township, Precinct 3",State Senate,31,Roger Victory,REP,349,402,751
Ottawa,"Park Township, Precinct 3",State Senate,31,Jessica L. Fox,LIB,12,4,16
Ottawa,"Park Township, Precinct 3",State Senate,31,Cast Votes:,,573,821,1394
Ottawa,"Park Township, Precinct 3",State Senate,31,Undervotes:,,21,11,32
Ottawa,"Park Township, Precinct 3",State Senate,31,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State Senate,31,Rejected write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State Senate,31,Unresolved write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State House,86,Larry D. Jackson,DEM,211,395,606
Ottawa,"Park Township, Precinct 3",State House,86,Nancy De Boer,REP,368,414,782
Ottawa,"Park Township, Precinct 3",State House,86,Cast Votes:,,579,809,1388
Ottawa,"Park Township, Precinct 3",State House,86,Undervotes:,,15,22,37
Ottawa,"Park Township, Precinct 3",State House,86,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State House,86,Rejected write-in votes:,,0,1,1
Ottawa,"Park Township, Precinct 3",State House,86,Unresolved write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State House,86,,,,,
Ottawa,"Park Township, Precinct 3",State House,86,Pamela Pugh,DEM,208,405,613
Ottawa,"Park Township, Precinct 3",State House,86,Mitchell Robinson,DEM,203,400,603
Ottawa,"Park Township, Precinct 3",State House,86,Tamara D. Carlone,REP,330,368,698
Ottawa,"Park Township, Precinct 3",State House,86,Linda Lee Tarver,REP,317,364,681
Ottawa,"Park Township, Precinct 3",State House,86,Donna Gundle-Krieg,LIB,8,3,11
Ottawa,"Park Township, Precinct 3",State House,86,Bill Hall,LIB,18,2,20
Ottawa,"Park Township, Precinct 3",State House,86,Ethan Hobson,UST,6,2,8
Ottawa,"Park Township, Precinct 3",State House,86,Mary Anne Hering,WC,11,4,15
Ottawa,"Park Township, Precinct 3",State House,86,Cast Votes:,,1101,1548,2649
Ottawa,"Park Township, Precinct 3",State House,86,Undervotes:,,87,116,203
Ottawa,"Park Township, Precinct 3",State House,86,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State House,86,Rejected write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 3",State House,86,Unresolved write-in votes:,,0,0,0
