county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Kim S. Nagy,DEM,186,299,485
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Roger Victory,REP,472,251,723
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Jessica L. Fox,LIB,19,13,32
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Cast Votes,,677,563,1240
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Undervotes,,26,17,43
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Overvotes,,1,0,1
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Rejected write-in votes,,0,0,0
Ottawa,"Grand Haven Charter Township, Precinct 1",State Senate,31,Unresolved write-in votes,,0,0,0
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Christine Baker,DEM,192,290,482
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Greg VanWoerkom,REP,470,269,739
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Marv Bolthouse,LIB,14,7,21
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Cast Votes,,676,566,1242
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Undervotes,,28,14,42
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Overvotes,,0,0,0
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Rejected write-in votes,,0,0,0
Ottawa,"Grand Haven Charter Township, Precinct 1",State House,88,Unresolved write-in votes,,0,0,0
