county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Democratic,DEM,183,193,376
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Republican,REP,376,244,620
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Libertarian,LIB,2,5,7
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,U.S. Taxpayers,UST,0,0,0
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Working Class,WC,1,0,1
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Green,GRE,0,0,0
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Cast Votes,,562,442,1004
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Undervotes,,499,352,851
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Overvotes,,2,1,3
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Rejected,,0,0,0
Ottawa,"Spring Lake Township, Precinct 3B",Straight Party,,Unresolved,,0,0,0
