county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Gretchen Whitmer Garlin D. Gilchrist II,DEM,131,154,285
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Tudor M. Dixon Shane Hernandez,REP,250,75,325
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Mary Buzuma Brian Ellison,LIB,8,4,12
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Donna Brandenburg Mellissa Carone,UST,2,1,3
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Kevin Hogan Destiny Clayton,GRE,1,1,2
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Daryl M. Simpson Doug Dern,NAL,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Cast Votes,,392,235,627
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Undervotes,,2,1,3
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Overvotes,,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Rejected,,0,0,0
Ottawa,"Port Sheldon Township, Precinct 2B",Governor,,Unresolved,,0,0,0
