county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Jocelyn Benson,DEM,236,315,551
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Kristina Elaine Karamo,REP,495,553,1048
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Gregory Scott Stempfle,LIB,13,3,16
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Christine C. Schwartz,UST,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Larry James Hutchinson Jr.,GRE,4,2,6
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Cast Votes,,748,874,1622
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Undervotes,,16,6,22
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Overvotes,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Rejected,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 6",Secretary of State,,Unresolved,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Dana Nessel,DEM,216,288,504
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Matthew DePerno,REP,507,567,1074
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Joseph W. McHugh Jr.,LIB,14,8,22
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Gerald T. Van Sickle,UST,8,5,13
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Cast Votes,,745,868,1613
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Undervotes,,18,11,29
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Overvotes,,1,0,1
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Rejected,,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 6",Attorney General,,Unresolved,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Joseph Alfonso,DEM,178,240,418
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Bill Huizenga,REP,549,617,1166
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Lorence Wenke,LIB,10,4,14
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Curtis Michael Clark,UST,5,3,8
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Cast Votes,,742,864,1606
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Undervotes,,22,15,37
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Overvotes,,0,0,0
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Rejected,,0,1,1
Ottawa,"Georgetown Charter Township, Precinct 6",U.S. House,4,Unresolved,,0,0,0
