county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Gretchen Whitmer Garlin D. Gilchrist II,DEM,268,396,664
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Tudor M. Dixon Shane Hernandez,REP,653,401,1054
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Mary Buzuma Brian Ellison,LIB,6,1,7
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Donna Brandenburg Mellissa Carone,UST,5,2,7
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Kevin Hogan Destiny Clayton,GRE,4,1,5
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Daryl M. Simpson Doug Dern,NAL,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Bob Scott (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Elizabeth Ann Adkisson (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Ervin Joseph Lamie (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Eugene Rosell Hunt Jr. (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Evan S. Space (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Joseph Irving (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Joseph Michael Hunt (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Joyce Priscilla Gipson (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Justin Paul Blackburn (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Michael David Kelley (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Michael Ray Deck (W),,0,0,0
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Cast Votes:,,936,801,1737
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Undervotes:,,2,5,7
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Overvotes:,,1,0,1
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Rejected write-in votes:,,0,2,2
Ottawa,"Port Sheldon Township, Precinct 1B",Governor,,Unresolved write-in votes:,,0,0,0
