county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Park Township, Precinct 6",Straight Party,,Democratic,DEM,127,199,326
Ottawa,"Park Township, Precinct 6",Straight Party,,Republican,REP,273,179,452
Ottawa,"Park Township, Precinct 6",Straight Party,,Libertarian,LIB,2,2,4
Ottawa,"Park Township, Precinct 6",Straight Party,,U.S. Taxpayers,UST,0,1,1
Ottawa,"Park Township, Precinct 6",Straight Party,,Working Class,WC,0,0,0
Ottawa,"Park Township, Precinct 6",Straight Party,,Green,GRE,0,1,1
Ottawa,"Park Township, Precinct 6",Straight Party,,Natural Law,NAL,0,0,0
Ottawa,"Park Township, Precinct 6",Straight Party,,Cast Votes:,,402,382,784
Ottawa,"Park Township, Precinct 6",Straight Party,,Undervotes:,,344,248,592
Ottawa,"Park Township, Precinct 6",Straight Party,,Overvotes:,,0,0,0
Ottawa,"Park Township, Precinct 6",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Park Township, Precinct 6",Straight Party,,Unresolved write-in votes:,,0,0,0
