county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Democratic,DEM,159,0,159
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Republican,REP,685,0,685
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Libertarian,LIB,4,0,4
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,U.S. Taxpayers,UST,2,0,2
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Working Class,WC,1,0,1
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Green,GRE,4,0,4
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Natural Law,NAL,1,0,1
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Cast Votes:,,856,0,856
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Undervotes:,,597,0,597
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Overvotes:,,1,0,1
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Rejected write-in votes:,,0,0,0
Ottawa,"Polkton Charter Township, Precinct 1",Straight Party,,Unresolved write-in votes:,,0,0,0
