county,precinct,office,district,candidate,party,election_day,absentee,total
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Jocelyn Benson,DEM,6,2,8
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Kristina Elaine Karamo,REP,66,29,95
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Gregory Scott Stempfle,LIB,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Christine C. Schwartz,UST,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Larry James Hutchinson Jr.,GRE,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Cast Votes:,,72,31,103
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Undervotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Overvotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Rejected write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Secretary of State,,Unresolved write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Dana Nessel,DEM,4,1,5
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Matthew DePerno,REP,66,30,96
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Joseph W. McHugh Jr.,LIB,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Gerald T. Van Sickle,UST,1,0,1
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Cast Votes:,,71,31,102
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Undervotes:,,1,0,1
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Overvotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Rejected write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",Attorney General,,Unresolved write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Joseph Alfonso,DEM,3,1,4
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Bill Huizenga,REP,69,30,99
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Lorence Wenke,LIB,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Curtis Michael Clark,UST,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Cast Votes:,,72,31,103
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Undervotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Overvotes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Rejected write-in votes:,,0,0,0
Ottawa,"Blendon Township, Precinct 2B",U.S. House,4,Unresolved write-in votes:,,0,0,0
