x,y,text
19.008,-204.67700000000002,Precinct
154.512,-203.16500000000002,"Democratic Party, DEM "
204.912,320.488,
204.912,-203.16500000000002,"Republican Party, REP "
255.312,320.488,
255.312,-203.16500000000002,"Libertarian Party, LIB "
305.712,320.488,
305.712,-203.16500000000002,"U.S. Taxpayers Party, UST "
356.112,320.488,
356.112,-203.16500000000002,"Working Class Party, WCP "
406.512,320.488,
406.512,-203.16500000000002,"Green Party, GRN "
456.912,320.488,
456.912,-203.16500000000002,"Natural Law Party, NLP "
505.512,320.488,
505.512,-98.43400000000003,Cast Votes 
546.912,320.488,
546.912,-98.43400000000003,Undervotes 
582.912,320.488,
582.912,-98.43400000000003,Overvotes 
618.912,320.488,
618.912,-98.43400000000003,Rejected write-in votes 
660.312,320.488,
660.312,-98.43400000000003,Election Day Voting Ballots Cast 
707.112,320.488,
707.112,-98.43400000000003,Absentee Voting Ballots Cast 
753.912,320.488,
753.912,-98.43400000000003,Total Ballots Cast 
19.008,-114.49000000000001,"City of Flint, Precinct 58"
160.416,-114.49000000000001,262
215.136,-114.49000000000001,71
269.856,-114.49000000000001,6
320.256,-114.49000000000001,1
370.656,-114.49000000000001,5
421.056,-114.49000000000001,0
471.456,-114.49000000000001,0
509.616,-114.49000000000001,345
545.616,-114.49000000000001,201
590.256,-114.49000000000001,0
626.256,-114.49000000000001,0
664.416,-114.49000000000001,386
711.216,-114.49000000000001,160
758.016,-114.49000000000001,546
19.008,-129.25,"City of Flint, Precinct 59"
160.416,-129.25,103
215.136,-129.25,48
269.856,-129.25,1
320.256,-129.25,0
370.656,-129.25,4
421.056,-129.25,1
471.456,-129.25,0
509.616,-129.25,157
549.936,-129.25,62
590.256,-129.25,1
626.256,-129.25,0
664.416,-129.25,161
715.536,-129.25,59
758.016,-129.25,220
19.008,-144.01000000000005,"City of Flint, Precinct 60"
160.416,-144.01000000000005,463
215.136,-144.01000000000005,67
269.856,-144.01000000000005,1
320.256,-144.01000000000005,1
370.656,-144.01000000000005,2
421.056,-144.01000000000005,3
471.456,-144.01000000000005,1
509.616,-144.01000000000005,538
545.616,-144.01000000000005,205
590.256,-144.01000000000005,2
626.256,-144.01000000000005,0
664.416,-144.01000000000005,463
711.216,-144.01000000000005,282
758.016,-144.01000000000005,745
19.008,-158.77000000000004,"City of Flint, Precinct 61"
164.736,-158.77000000000004,89
219.456,-158.77000000000004,8
269.856,-158.77000000000004,1
320.256,-158.77000000000004,0
370.656,-158.77000000000004,0
421.056,-158.77000000000004,0
471.456,-158.77000000000004,1
513.936,-158.77000000000004,99
549.936,-158.77000000000004,14
590.256,-158.77000000000004,1
626.256,-158.77000000000004,0
668.736,-158.77000000000004,65
715.536,-158.77000000000004,49
758.016,-158.77000000000004,114
19.008,-173.53000000000003,"Flint Township, Precinct 1"
160.416,-173.53000000000003,590
210.816,-173.53000000000003,153
269.856,-173.53000000000003,2
320.256,-173.53000000000003,0
370.656,-173.53000000000003,3
421.056,-173.53000000000003,0
471.456,-173.53000000000003,1
509.616,-173.53000000000003,749
545.616,-173.53000000000003,358
590.256,-173.53000000000003,1
626.256,-173.53000000000003,0
664.416,-173.53000000000003,458
711.216,-173.53000000000003,650
751.968,-173.53000000000003,1108
19.008,-188.29000000000002,"Flint Township, Precinct 2"
160.416,-188.29000000000002,393
215.136,-188.29000000000002,89
269.856,-188.29000000000002,3
320.256,-188.29000000000002,0
370.656,-188.29000000000002,0
421.056,-188.29000000000002,1
471.456,-188.29000000000002,1
509.616,-188.29000000000002,487
545.616,-188.29000000000002,271
590.256,-188.29000000000002,1
626.256,-188.29000000000002,0
664.416,-188.29000000000002,404
711.216,-188.29000000000002,355
758.016,-188.29000000000002,759
19.008,-203.05,"Flint Township, Precinct 3"
160.416,-203.05,419
210.816,-203.05,273
269.856,-203.05,2
320.256,-203.05,3
370.656,-203.05,5
421.056,-203.05,0
471.456,-203.05,0
509.616,-203.05,702
545.616,-203.05,435
590.256,-203.05,0
626.256,-203.05,0
664.416,-203.05,568
711.216,-203.05,569
751.968,-203.05,1137
19.008,-217.81000000000003,"Flint Township, Precinct 4"
160.416,-217.81000000000003,724
210.816,-217.81000000000003,127
269.856,-217.81000000000003,3
320.256,-217.81000000000003,1
370.656,-217.81000000000003,5
421.056,-217.81000000000003,1
471.456,-217.81000000000003,0
509.616,-217.81000000000003,861
545.616,-217.81000000000003,322
590.256,-217.81000000000003,2
626.256,-217.81000000000003,0
664.416,-217.81000000000003,576
711.216,-217.81000000000003,609
751.968,-217.81000000000003,1185
19.008,-232.57000000000002,"Flint Township, Precinct 5"
160.416,-232.57000000000002,514
210.816,-232.57000000000002,223
269.856,-232.57000000000002,0
320.256,-232.57000000000002,0
370.656,-232.57000000000002,1
421.056,-232.57000000000002,1
471.456,-232.57000000000002,0
509.616,-232.57000000000002,739
545.616,-232.57000000000002,518
590.256,-232.57000000000002,0
626.256,-232.57000000000002,0
664.416,-232.57000000000002,586
711.216,-232.57000000000002,671
751.968,-232.57000000000002,1257
19.008,-247.33,"Flint Township, Precinct 6"
160.416,-247.33,427
210.816,-247.33,158
269.856,-247.33,2
320.256,-247.33,2
370.656,-247.33,7
421.056,-247.33,2
471.456,-247.33,1
509.616,-247.33,599
545.616,-247.33,335
590.256,-247.33,1
626.256,-247.33,0
664.416,-247.33,518
711.216,-247.33,417
758.016,-247.33,935
19.008,-262.09000000000003,"Flint Township, Precinct 7"
160.416,-262.09000000000003,618
215.136,-262.09000000000003,25
269.856,-262.09000000000003,1
320.256,-262.09000000000003,1
370.656,-262.09000000000003,4
421.056,-262.09000000000003,0
471.456,-262.09000000000003,0
509.616,-262.09000000000003,649
545.616,-262.09000000000003,154
590.256,-262.09000000000003,0
626.256,-262.09000000000003,0
664.416,-262.09000000000003,424
711.216,-262.09000000000003,379
758.016,-262.09000000000003,803
19.008,-276.85,"Flint Township, Precinct 9"
160.416,-276.85,323
210.816,-276.85,114
269.856,-276.85,2
320.256,-276.85,5
370.656,-276.85,5
421.056,-276.85,0
471.456,-276.85,3
509.616,-276.85,452
545.616,-276.85,140
590.256,-276.85,1
626.256,-276.85,0
664.416,-276.85,377
711.216,-276.85,216
