x,y,text
758.016,-319.61800000000005,439
19.008,-334.37800000000004,"Mundy Township, Precinct 8"
160.416,-334.37800000000004,228
210.816,-334.37800000000004,236
269.856,-334.37800000000004,3
320.256,-334.37800000000004,2
370.656,-334.37800000000004,1
421.056,-334.37800000000004,0
471.456,-334.37800000000004,0
509.616,-334.37800000000004,470
545.616,-334.37800000000004,378
590.256,-334.37800000000004,4
626.256,-334.37800000000004,0
664.416,-334.37800000000004,488
711.216,-334.37800000000004,364
758.016,-334.37800000000004,852
19.008,-349.13800000000003,"Richfield Township, Precinct 1"
160.416,-349.13800000000003,370
210.816,-349.13800000000003,349
269.856,-349.13800000000003,1
320.256,-349.13800000000003,2
370.656,-349.13800000000003,7
421.056,-349.13800000000003,1
471.456,-349.13800000000003,1
509.616,-349.13800000000003,731
545.616,-349.13800000000003,518
590.256,-349.13800000000003,0
626.256,-349.13800000000003,0
664.416,-349.13800000000003,805
711.216,-349.13800000000003,444
751.968,-349.13800000000003,1249
19.008,-363.898,"Richfield Township, Precinct 2"
160.416,-363.898,456
210.816,-363.898,474
269.856,-363.898,7
320.256,-363.898,0
370.656,-363.898,9
421.056,-363.898,3
471.456,-363.898,1
509.616,-363.898,950
545.616,-363.898,803
590.256,-363.898,0
626.256,-363.898,0
664.416,-363.898,966
711.216,-363.898,787
751.968,-363.898,1753
19.008,-378.658,"Richfield Township, Precinct 3"
160.416,-378.658,298
210.816,-378.658,426
269.856,-378.658,5
320.256,-378.658,0
370.656,-378.658,8
421.056,-378.658,0
471.456,-378.658,0
509.616,-378.658,737
545.616,-378.658,661
590.256,-378.658,0
626.256,-378.658,0
664.416,-378.658,884
711.216,-378.658,514
751.968,-378.658,1398
333.864,48.170999999999935,"Genesee County, Michigan"
296.784,116.90199999999993,"General Election, Tuesday, November 8, 2022"
373.248,88.89399999999995,11/8/2022
382.032,72.54999999999995,Page 21
700.056,57.53099999999995,Official Results
704.016,38.73900000000003,Registered Voters
671.328,129.06999999999994,172823 of 352545 = 49.02%
696.24,6.698999999999955,Precincts Reporting
692.928,97.02999999999997,206 of 206 = 100.00%
22.032,57.53099999999995,Canvass Results
22.032,117.62199999999996,Election Day
20.016,84.35799999999995,Run Time
20.016,69.95799999999997,Run Date
136.944,84.35799999999995,3:46 PM
124.704,69.95799999999997,11/22/2022
19.008,-62.997000000000014,Straight Party Ticket - Vote for not more than 1
