county,precinct,office,district,party,candidate,votes
Iosoco,Reno Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Sherman Township Precinct 1,Straight Party,,LIB,Libertarian Party,0
Iosoco,Tawas Township Precinct 1,Straight Party,,LIB,Libertarian Party,1
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,LIB,Libertarian Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,LIB,Libertarian Party,2
Iosoco,Total,Straight Party,,LIB,Libertarian Party,31
Iosoco,Alabaster Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,AuSable Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,4
Iosoco,Baldwin Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Burleigh Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,City of Tawas City Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,City of Whittemore Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Grant Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Oscoda Township Precinct 2,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,Oscoda Township Precinct 4,Straight Party,,UST,U.S. Taxpayers,2
Iosoco,Plainfield Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Plainfield Township Precinct 2,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Reno Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Sherman Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,3
Iosoco,Tawas Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,UST,U.S. Taxpayers,0
Iosoco,Wilber Township Precinct 1,Straight Party,,UST,U.S. Taxpayers,1
Iosoco,Total,Straight Party,,UST,U.S. Taxpayers,25
Iosoco,Alabaster Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,Baldwin Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,Burleigh Township Precinct 1,Straight Party,,WC,Working Class Party,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,WC,Working Class Party,5
Iosoco,City of Tawas City Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,City of Whittemore Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,WC,Working Class Party,3
Iosoco,Oscoda Township Precinct 2,Straight Party,,WC,Working Class Party,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,WC,Working Class Party,4
Iosoco,Oscoda Township Precinct 4,Straight Party,,WC,Working Class Party,3
Iosoco,Plainfield Township Precinct 1,Straight Party,,WC,Working Class Party,4
Iosoco,Plainfield Township Precinct 2,Straight Party,,WC,Working Class Party,3
Iosoco,Reno Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Sherman Township Precinct 1,Straight Party,,WC,Working Class Party,1
Iosoco,Tawas Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Whitney Township Precinct 1 (Out of County),Straight Party,,WC,Working Class Party,0
Iosoco,Wilber Township Precinct 1,Straight Party,,WC,Working Class Party,2
Iosoco,Total,Straight Party,,WC,Working Class Party,37
Iosoco,Alabaster Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,AuSable Township Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,Baldwin Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Burleigh Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,City of East Tawas Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,City of Tawas City Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,City of Whittemore Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Curtis Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Grant Township Precinct 1,Straight Party,,GRE,Green Party,0
Iosoco,Greenbush Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Hill Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Logan Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Mikado Township Precinct 1 (Out of County),Straight Party,,GRE,Green Party,0
Iosoco,Oscoda Township Precinct 1,Straight Party,,GRE,Green Party,2
Iosoco,Oscoda Township Precinct 2,Straight Party,,GRE,Green Party,0
Iosoco,Oscoda Township Precinct 3,Straight Party,,GRE,Green Party,2
Iosoco,Oscoda Township Precinct 4,Straight Party,,GRE,Green Party,3
Iosoco,Plainfield Township Precinct 1,Straight Party,,GRE,Green Party,1
Iosoco,Plainfield Township Precinct 2,Straight Party,,GRE,Green Party,0
Iosoco,Reno Township Precinct 1,Straight Party,,GRE,Green Party,0
